course,institution,cluster_number,cutoff_points,year
BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,MACHAKOS UNIVERSITY,17,21.834,2019
BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,MACHAKOS UNIVERSITY,17,21.921,2020
BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,MACHAKOS UNIVERSITY,17,17.459,2021
BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,MACHAKOS UNIVERSITY,17,22.648,2022
BACHELOR OF SCIENCE IN FASHION DESIGN AND MARKETING,MACHAKOS UNIVERSITY,17,15.864,2023
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,25.705,2018
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,25.515,2019
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,25.12,2020
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,17.459,2021
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,25.015,2022
BACHELOR OF SCIENCE (APPAREL & FASHION TECHNOLOGY),UNIVERSITY OF ELDORET,17,15.864,2023
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,25.671,2018
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,24.16,2019
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,22.361,2020
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,22.544,2021
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,21.444,2022
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,SCOTT CHRISTIAN UNIVERSITY,21,21.375,2023
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),GRETSA UNIVERSITY,21,21.444,2022
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),GRETSA UNIVERSITY,21,21.375,2023
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),KENYA METHODIST UNIVERSITY,21,25.438,2018
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),KENYA METHODIST UNIVERSITY,21,24.054,2019
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),KENYA METHODIST UNIVERSITY,21,22.361,2020
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),KENYA METHODIST UNIVERSITY,21,23.013,2021
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,25.47,2018
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,24.703,2019
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,22.361,2020
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,27.435,2021
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,26.561,2022
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,23.962,2023
BACHELOR OF HOSPITALITY AND INSTITUTIONAL MANAGEMENT,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,27,26.523,2024
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,21,26.381,2024
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,24.499,2018
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,25.728,2019
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,22.361,2020
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,26.114,2021
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,27.295,2022
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,25.03,2023
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,21,26.091,2024
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,25.268,2018
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,24.749,2019
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,22.361,2020
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,22.544,2021
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,21.444,2022
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PRESBYTERIAN UNIVERSITY OF EAST AFRICA,21,21.375,2023
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,24.551,2018
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,27.008,2019
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,22.361,2020
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,26.592,2021
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,27.459,2022
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,24.772,2023
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),PWANI UNIVERSITY,24,27.353,2024
BACHELOR OF SCIENCE (HOSPITALITY & TOURISM MANAGEMENT),KENYATTA UNIVERSITY,21,30.444,2024
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,27.186,2018
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,23.976,2019
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,22.361,2020
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,22.544,2021
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,24.435,2022
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,21.375,2023
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,87,25.298,2024
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,24.614,2018
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,24.828,2019
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,22.361,2020
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,22.544,2021
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,24.915,2022
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,23.57,2023
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,22,22.435,2024
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,25.997,2018
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,29.147,2019
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,22.361,2020
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,27.586,2021
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,27.875,2022
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,26.119,2023
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,MOI UNIVERSITY,22,22.894,2024
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,24.653,2018
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,25.348,2019
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,22.361,2020
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,26.952,2021
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,27.599,2022
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,24.844,2023
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,UNIVERSITY OF ELDORET,22,26.44,2024
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,26.259,2018
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,26.621,2019
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,22.361,2020
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,26.373,2021
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,27.769,2022
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,27.305,2023
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),EGERTON UNIVERSITY,23,27.917,2024
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,24.483,2018
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,25.01,2019
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,22.361,2020
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,24.647,2021
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,26.382,2022
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,24.837,2023
BACHELOR OF SCIENCE IN ECOTOURISM,CHUKA UNIVERSITY,23,25.581,2024
BACHELOR OF TOURISM AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,23,22.353,2022
BACHELOR OF TOURISM AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,23,22.999,2023
BACHELOR OF TOURISM AND HOSPITALITY MANAGEMENT,RONGO UNIVERSITY,23,22.458,2024
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,24.503,2018
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,23.88,2019
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,22.361,2020
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,22.544,2021
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,23.021,2022
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,21.375,2023
BACHELOR OF ECOTOURISM AND HOSPITALITY MANAGEMENT,KISII UNIVERSITY,23,23.063,2024
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,24.612,2018
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,24.182,2019
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,22.361,2020
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,22.544,2021
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,22.817,2022
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,21.375,2023
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",TOM MBOYA UNIVERSITY,23,21.964,2024
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,25.454,2018
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,25.425,2019
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,22.361,2020
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,23.61,2021
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,21.444,2022
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,GRETSA UNIVERSITY,24,21.375,2023
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,KABARAK UNIVERSITY,24,21.764,2024
BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT,UNIVERSITY OF EMBU,24,25.735,2024
BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,24,24.651,2020
BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,24,23.257,2021
BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,24,25.043,2022
BACHELOR OF SCIENCE IN HOSPITALITY AND TOURISM MANAGEMENT,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,24,23.506,2023
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,30.582,2018
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,26.755,2019
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,16.791,2020
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,17.459,2021
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,16.974,2022
BACHELOR OF SCIENCE (BIOTECHNOLOGY),KISII UNIVERSITY,26,15.683,2023
BACHELOR OF SCIENCE (BIOTECHNOLOGY),JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,26,28.953,2024
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,25.544,2018
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,27.283,2019
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,24.083,2020
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,25.077,2021
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,18.638,2022
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),KCA UNIVERSITY,32,18.814,2023
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,32,29.514,2024
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,23.091,2018
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,23.166,2019
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,23.11,2020
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,22.49,2021
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,26.252,2022
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,26.283,2023
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,UNIVERSITY OF EMBU,32,27.469,2024
BACHELOR OF INFORMATION TECHNOLOGY,ALUPE UNIVERSITY,32,20.933,2024
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,35.139,2018
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,36.84,2019
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,37.351,2020
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,36.852,2021
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,38.039,2022
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,36.399,2023
BACHELOR OF TECHNOLOGY (INFORMATION TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,32,35.975,2024
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,24.761,2018
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,25.319,2019
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,22.361,2020
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,22.544,2021
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,21.444,2022
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,UNIVERSITY OF EMBU,33,21.375,2023
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,24.983,2018
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,23.99,2019
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,24.176,2020
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,22.544,2021
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,21.444,2022
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,EGERTON UNIVERSITY,33,21.375,2023
BACHELOR OF SCIENCE IN LIBRARY AND KNOWLEDGE MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,33,22.544,2021
BACHELOR OF SCIENCE IN LIBRARY AND KNOWLEDGE MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,33,21.444,2022
BACHELOR OF SCIENCE IN LIBRARY AND KNOWLEDGE MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,33,21.375,2023
BACHELOR OF SCIENCE  IN INFORMATION SCIENCE,THARAKA UNIVERSITY,33,25.382,2019
BACHELOR OF SCIENCE  IN INFORMATION SCIENCE,THARAKA UNIVERSITY,33,22.361,2020
BACHELOR OF SCIENCE  IN INFORMATION SCIENCE,THARAKA UNIVERSITY,33,22.544,2021
BACHELOR OF SCIENCE  IN INFORMATION SCIENCE,THARAKA UNIVERSITY,33,21.444,2022
BACHELOR OF SCIENCE  IN INFORMATION SCIENCE,THARAKA UNIVERSITY,33,21.375,2023
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,24.725,2018
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,26.895,2019
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,24.269,2020
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,22.544,2021
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,21.444,2022
BACHELOR OF LIBRARY & INFORMATION SCIENCE,KENYATTA UNIVERSITY,33,21.375,2023
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,25.083,2018
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,25.564,2019
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,22.361,2020
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,22.544,2021
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,21.444,2022
BACHELOR OF LIBRARY AND INFORMATION STUDIES,LAIKIPIA UNIVERSITY,33,21.375,2023
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,24.38,2018
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,24.521,2019
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,22.361,2020
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,22.544,2021
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,22.887,2022
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,21.375,2023
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,KISII UNIVERSITY,34,22.277,2024
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,27.643,2018
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,24.67,2019
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,22.361,2020
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,22.544,2021
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,21.935,2022
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,21.375,2023
BACHELOR OF TRAVEL & TOURS MANAGEMENT,MURANG'A UNIVERSITY OF TECHNOLOGY,34,22.316,2024
BACHELOR OF TRAVEL & TOURS OPERATIONS MANAGEMENT,UNIVERSITY OF ELDORET,34,23.068,2023
BACHELOR OF TRAVEL & TOURS OPERATIONS MANAGEMENT,UNIVERSITY OF ELDORET,34,24.214,2024
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,24.314,2018
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,24.942,2019
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,22.361,2020
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,23.951,2021
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,24.518,2022
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,23.39,2023
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,35,22.618,2024
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,24.123,2018
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,24.209,2019
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,25.43,2020
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,22.946,2021
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,18.638,2022
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,21.914,2023
BACHELOR OF INFORMATION TECHNOLOGY,KISII UNIVERSITY,36,21.165,2024
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,23.636,2018
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,23.457,2019
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,22.617,2020
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,19.223,2021
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,23.196,2022
BACHELOR OF INFORMATION TECHNOLOGY,SOUTH EASTERN KENYA UNIVERSITY,32,22.751,2023
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,25.399,2018
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,24.065,2019
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,24.994,2020
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,22.926,2021
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,22.916,2022
BACHELOR OF ARTS (PSYCHOLOGY),KISII UNIVERSITY,37,22.449,2023
BACHELOR OF ARTS IN PSYCHOLOGY WITH TECHNOLOGY,ZETECH UNIVERSITY,37,22.926,2021
BACHELOR OF ARTS IN PSYCHOLOGY WITH TECHNOLOGY,ZETECH UNIVERSITY,37,22.916,2022
BACHELOR OF ARTS IN PSYCHOLOGY WITH TECHNOLOGY,ZETECH UNIVERSITY,37,22.449,2023
